"Transmission ,Format:Log Mag"
"Freq(MHz)","dB",
    0.300, -33.06,
    5.298, -20.14,
   10.297, -17.76,
   15.296, -17.05,
   20.294, -16.81,
   25.293, -16.79,
   30.291, -16.85,
   35.289, -16.90,
   40.288, -16.91,
   45.286, -16.89,
   50.285, -16.79,
   55.283, -16.68,
   60.282, -16.60,
   65.281, -16.58,
   70.279, -16.62,
   75.278, -16.78,
   80.276, -16.96,
   85.275, -17.11,
   90.273, -17.16,
   95.272, -17.11,
  100.270, -16.96,
  105.269, -16.71,
  110.267, -16.48,
  115.266, -16.36,
  120.264, -16.39,
  125.263, -16.58,
  130.261, -16.85,
  135.260, -17.10,
  140.258, -17.27,
  145.256, -17.31,
  150.255, -17.22,
  155.254, -17.01,
  160.252, -16.78,
  165.250, -16.60,
  170.249, -16.48,
  175.248, -16.52,
  180.246, -16.70,
  185.244, -16.89,
  190.243, -17.07,
  195.242, -17.17,
  200.240, -17.18,
  205.238, -17.10,
  210.237, -16.97,
  215.236, -16.84,
  220.234, -16.74,
  225.232, -16.64,
  230.231, -16.58,
  235.230, -16.58,
  240.228, -16.57,
  245.226, -16.58,
  250.225, -16.63,
  255.224, -16.68,
  260.222, -16.76,
  265.221, -16.83,
  270.219, -16.87,
  275.217, -16.83,
  280.216, -16.73,
  285.214, -16.56,
  290.213, -16.40,
  295.212, -16.30,
  300.210, -16.31,
  305.209, -16.43,
  310.207, -16.58,
  315.205, -16.75,
  320.204, -16.82,
  325.202, -16.76,
  330.201, -16.58,
  335.200, -16.31,
  340.198, -16.05,
  345.197, -15.94,
  350.195, -16.00,
  355.193, -16.24,
  360.192, -16.51,
  365.190, -16.74,
  370.189, -16.85,
  375.188, -16.80,
  380.186, -16.59,
  385.185, -16.27,
  390.183, -15.90,
  395.182, -15.63,
  400.180, -15.54,
  405.178, -15.62,
  410.177, -15.85,
  415.175, -16.09,
  420.174, -16.27,
  425.173, -16.35,
  430.171, -16.30,
  435.170, -16.15,
  440.168, -15.93,
  445.166, -15.70,
  450.165, -15.54,
  455.163, -15.46,
  460.162, -15.48,
  465.161, -15.58,
  470.159, -15.69,
  475.158, -15.81,
  480.156, -15.88,
  485.154, -15.85,
  490.153, -15.75,
  495.151, -15.56,
  500.150, -15.31,
  505.149, -15.03,
  510.147, -14.77,
  515.145, -14.62,
  520.144, -14.59,
  525.143, -14.76,
  530.141, -15.01,
  535.139, -15.30,
  540.138, -15.47,
  545.136, -15.52,
  550.135, -15.42,
  555.134, -15.16,
  560.132, -14.85,
  565.130, -14.51,
  570.129, -14.30,
  575.128, -14.22,
  580.126, -14.35,
  585.125, -14.54,
  590.123, -14.75,
  595.121, -14.85,
  600.120, -14.86,
  605.119, -14.73,
  610.117, -14.50,
  615.115, -14.20,
  620.114, -13.94,
  625.112, -13.76,
  630.111, -13.73,
  635.110, -13.86,
  640.108, -14.06,
  645.106, -14.23,
  650.105, -14.34,
  655.104, -14.35,
  660.102, -14.22,
  665.101, -13.98,
  670.099, -13.65,
  675.097, -13.32,
  680.096, -13.06,
  685.095, -12.93,
  690.093, -12.98,
  695.091, -13.18,
  700.090, -13.42,
  705.088, -13.58,
  710.087, -13.61,
  715.086, -13.46,
  720.084, -13.14,
  725.082, -12.71,
  730.081, -12.26,
  735.080, -11.98,
  740.078, -11.91,
  745.077, -12.14,
  750.075, -12.49,
  755.073, -12.85,
  760.072, -13.07,
  765.071, -13.13,
  770.069, -12.98,
  775.067, -12.64,
  780.066, -12.18,
  785.064, -11.75,
  790.063, -11.46,
  795.062, -11.37,
  800.060, -11.48,
  805.058, -11.69,
  810.057, -11.90,
  815.056, -12.02,
  820.054, -12.07,
  825.053, -12.08,
  830.051, -12.06,
  835.049, -12.09,
  840.048, -12.13,
  845.047, -12.16,
  850.045, -12.16,
  855.043, -12.16,
  860.042, -12.24,
  865.040, -12.36,
  870.039, -12.50,
  875.038, -12.61,
  880.036, -12.64,
  885.034, -12.55,
  890.033, -12.34,
  895.032, -12.05,
  900.030, -11.78,
  905.029, -11.60,
  910.027, -11.61,
  915.025, -11.80,
  920.024, -12.09,
  925.023, -12.37,
  930.021, -12.55,
  935.019, -12.55,
  940.018, -12.39,
  945.016, -12.13,
  950.015, -11.88,
  955.014, -11.74,
  960.012, -11.77,
  965.010, -11.98,
  970.009, -12.27,
  975.008, -12.49,
  980.006, -12.55,
  985.005, -12.38,
  990.003, -11.99,
  995.001, -11.55,
 1000.000, -11.21,
