"Reflection ,Format:Log Mag"
"Freq(MHz)","dB",
    0.300,  -0.38,
    5.298,   0.00,
   10.297,  -0.08,
   15.296,  -0.16,
   20.294,  -0.33,
   25.293,  -0.45,
   30.291,  -0.55,
   35.289,  -0.59,
   40.288,  -0.62,
   45.286,  -0.61,
   50.285,  -0.59,
   55.283,  -0.60,
   60.282,  -0.64,
   65.281,  -0.73,
   70.279,  -0.81,
   75.278,  -0.87,
   80.276,  -0.87,
   85.275,  -0.85,
   90.273,  -0.81,
   95.272,  -0.75,
  100.270,  -0.76,
  105.269,  -0.80,
  110.267,  -0.94,
  115.266,  -1.13,
  120.264,  -1.31,
  125.263,  -1.40,
  130.261,  -1.42,
  135.260,  -1.30,
  140.258,  -1.14,
  145.256,  -0.99,
  150.255,  -0.94,
  155.254,  -0.95,
  160.252,  -1.12,
  165.250,  -1.39,
  170.249,  -1.70,
  175.248,  -1.94,
  180.246,  -2.03,
  185.244,  -1.92,
  190.243,  -1.67,
  195.242,  -1.44,
  200.240,  -1.24,
  205.238,  -1.16,
  210.237,  -1.22,
  215.236,  -1.44,
  220.234,  -1.75,
  225.232,  -2.12,
  230.231,  -2.42,
  235.230,  -2.47,
  240.228,  -2.32,
  245.226,  -2.01,
  250.225,  -1.72,
  255.224,  -1.49,
  260.222,  -1.40,
  265.221,  -1.47,
  270.219,  -1.68,
  275.217,  -2.03,
  280.216,  -2.40,
  285.214,  -2.68,
  290.213,  -2.77,
  295.212,  -2.61,
  300.210,  -2.27,
  305.209,  -1.91,
  310.207,  -1.65,
  315.205,  -1.51,
  320.204,  -1.54,
  325.202,  -1.74,
  330.201,  -2.10,
  335.200,  -2.58,
  340.198,  -3.04,
  345.197,  -3.27,
  350.195,  -3.15,
  355.193,  -2.72,
  360.192,  -2.22,
  365.190,  -1.83,
  370.189,  -1.62,
  375.188,  -1.59,
  380.186,  -1.79,
  385.185,  -2.20,
  390.183,  -2.83,
  395.182,  -3.51,
  400.180,  -3.96,
  405.178,  -3.83,
  410.177,  -3.21,
  415.175,  -2.48,
  420.174,  -1.93,
  425.173,  -1.65,
  430.171,  -1.63,
  435.170,  -1.90,
  440.168,  -2.45,
  445.166,  -3.19,
  450.165,  -3.97,
  455.163,  -4.34,
  460.162,  -4.02,
  465.161,  -3.20,
  470.159,  -2.36,
  475.158,  -1.75,
  480.156,  -1.49,
  485.154,  -1.53,
  490.153,  -1.88,
  495.151,  -2.50,
  500.150,  -3.34,
  505.149,  -4.15,
  510.147,  -4.45,
  515.145,  -3.93,
  520.144,  -2.93,
  525.143,  -2.02,
  530.141,  -1.48,
  535.139,  -1.27,
  540.138,  -1.38,
  545.136,  -1.77,
  550.135,  -2.40,
  555.134,  -3.19,
  560.132,  -3.91,
  565.130,  -4.17,
  570.129,  -3.68,
  575.128,  -2.80,
  580.126,  -1.92,
  585.125,  -1.39,
  590.123,  -1.17,
  595.121,  -1.27,
  600.120,  -1.63,
  605.119,  -2.22,
  610.117,  -2.97,
  615.115,  -3.69,
  620.114,  -4.06,
  625.112,  -3.74,
  630.111,  -2.86,
  635.110,  -1.96,
  640.108,  -1.33,
  645.106,  -1.09,
  650.105,  -1.11,
  655.104,  -1.43,
  660.102,  -1.98,
  665.101,  -2.80,
  670.099,  -3.72,
  675.097,  -4.27,
  680.096,  -3.99,
  685.095,  -2.96,
  690.093,  -1.85,
  695.091,  -1.06,
  700.090,  -0.69,
  705.088,  -0.69,
  710.087,  -1.04,
  715.086,  -1.73,
  720.084,  -2.69,
  725.082,  -3.77,
  730.081,  -4.40,
  735.080,  -3.87,
  740.078,  -2.54,
  745.077,  -1.27,
  750.075,  -0.48,
  755.073,  -0.17,
  760.072,  -0.33,
  765.071,  -0.83,
  770.069,  -1.68,
  775.067,  -2.81,
  780.066,  -3.99,
  785.064,  -4.41,
  790.063,  -3.46,
  795.062,  -1.86,
  800.060,  -0.62,
  805.058,   0.02,
  810.057,   0.07,
  815.056,  -0.37,
  820.054,  -1.25,
  825.053,  -2.47,
  830.051,  -3.95,
  835.049,  -5.28,
  840.048,  -5.44,
  845.047,  -4.01,
  850.045,  -2.23,
  855.043,  -0.88,
  860.042,  -0.25,
  865.040,  -0.19,
  870.039,  -0.62,
  875.038,  -1.36,
  880.036,  -2.42,
  885.034,  -3.57,
  890.033,  -4.36,
  895.032,  -4.07,
  900.030,  -2.84,
  905.029,  -1.52,
  910.027,  -0.67,
  915.025,  -0.45,
  920.024,  -0.69,
  925.023,  -1.35,
  930.021,  -2.27,
  935.019,  -3.42,
  940.018,  -4.53,
  945.016,  -5.09,
  950.015,  -4.58,
  955.014,  -3.37,
  960.012,  -2.24,
  965.010,  -1.61,
  970.009,  -1.54,
  975.008,  -1.99,
  980.006,  -2.87,
  985.005,  -4.19,
  990.003,  -5.91,
  995.001,  -7.75,
 1000.000,  -8.23,
