Frequency (MHz);S21(Log Mag), dB;S11(Log Mag), dB
    0.300; -33.06;  -0.38
5.298; -20.14;   0.00
10.297; -17.76;  -0.08
15.296; -17.05;  -0.16
20.294; -16.81;  -0.33
25.293; -16.79;  -0.45
30.291; -16.85;  -0.55
35.289; -16.90;  -0.59
40.288; -16.91;  -0.62
45.286; -16.89;  -0.61
50.285; -16.79;  -0.59
55.283; -16.68;  -0.60
60.282; -16.60;  -0.64
65.281; -16.58;  -0.73
70.279; -16.62;  -0.81
75.278; -16.78;  -0.87
80.276; -16.96;  -0.87
85.275; -17.11;  -0.85
90.273; -17.16;  -0.81
95.272; -17.11;  -0.75
100.270; -16.96;  -0.76
105.269; -16.71;  -0.80
110.267; -16.48;  -0.94
115.266; -16.36;  -1.13
120.264; -16.39;  -1.31
125.263; -16.58;  -1.40
130.261; -16.85;  -1.42
135.260; -17.10;  -1.30
140.258; -17.27;  -1.14
145.256; -17.31;  -0.99
150.255; -17.22;  -0.94
155.254; -17.01;  -0.95
160.252; -16.78;  -1.12
165.250; -16.60;  -1.39
170.249; -16.48;  -1.70
175.248; -16.52;  -1.94
180.246; -16.70;  -2.03
185.244; -16.89;  -1.92
190.243; -17.07;  -1.67
195.242; -17.17;  -1.44
200.240; -17.18;  -1.24
205.238; -17.10;  -1.16
210.237; -16.97;  -1.22
215.236; -16.84;  -1.44
220.234; -16.74;  -1.75
225.232; -16.64;  -2.12
230.231; -16.58;  -2.42
235.230; -16.58;  -2.47
240.228; -16.57;  -2.32
245.226; -16.58;  -2.01
250.225; -16.63;  -1.72
255.224; -16.68;  -1.49
260.222; -16.76;  -1.40
265.221; -16.83;  -1.47
270.219; -16.87;  -1.68
275.217; -16.83;  -2.03
280.216; -16.73;  -2.40
285.214; -16.56;  -2.68
290.213; -16.40;  -2.77
295.212; -16.30;  -2.61
300.210; -16.31;  -2.27
305.209; -16.43;  -1.91
310.207; -16.58;  -1.65
315.205; -16.75;  -1.51
320.204; -16.82;  -1.54
325.202; -16.76;  -1.74
330.201; -16.58;  -2.10
